book,num,title,title2,originalTitle,composer,composer2,author,author2,theme
JEM,859,J'ai faim,A genoux,Hungry,"Scott, Kathryn",Kathryn Scott,"Scott, Kathryn",Kathryn Scott,Consécration
JEM,860,J'aime l'Eternel,Il a essuyé les larmes de mes yeux,,"Dumont, Luc",Luc Dumont,"Dumont, Luc",Luc Dumont,Adoration
JEM,861,Je compte sur toi,Tous les jours tu es fidèle,,"de Jong, John",John de Jong,"de Jong, John",John de Jong,Confession
JEM,862,Je demeure,Je demeure sous l'abri du Très-Haut,,"Andres, Joël",Joël Andres,"Andres, Joël",Joël Andres,Foi et confiance
JEM,863,Je m'incline,A genoux à tes pieds,,"Pitarella, Daniel",Daniel Pitarella,"Pitarella, Daniel",Daniel Pitarella,Adoration
JEM,864,Je te donne tout,"Prends mon âme, prends mon cœur",,"Dumont, Luc",Luc Dumont,"Dumont, Luc",Luc Dumont,Engagement
JEM,865,Je t'aime,Je dépose devant toi,,"Hirschi, Crystel",Crystel Hirschi,"Hirschi, Crystel",Crystel Hirschi,Consécration
JEM,866,Je te louerai,Je t'exalterai,,"Chellembron, Gilbert",Gilbert Chellembron,"Chellembron, Gilbert",Gilbert Chellembron,Louange
JEM,867,"Jésus, tu es digne",Tu as été immolé,,"Andres, Joël",Joël Andres,"Andres, Joël",Joël Andres,Jésus-Christ
JEM,868,"Jésus, tu es là",Quand le peuple de Dieu,,"Decourroux, Philippe",Philippe Decourroux,"Decourroux, Philippe",Philippe Decourroux,Evangélisation
JEM,869,L'Esprit et l'épouse,Il y aura,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Exhortation
JEM,870,Le Roi dans sa splendeur,"O Dieu, tu es grand",How Great is our God,"Tomlin, Chris ; Beeves, Jess ; Cash, Ed",Chris Tomlin ; Jess Beeves & Ed Cash,"Tomlin, Chris ; Beeves, Jess ; Cash, Ed",Chris Tomlin ; Jess Beeves & Ed Cash,Adoration
JEM,871,Majesté,Me voici,Majesty,"Garrard, Stuart ; Smith, Martin",Stuart Garrard ; Martin Smith,"Garrard, Stuart ; Smith, Martin",Stuart Garrard ; Martin Smith,Adoration
JEM,872,Merci,J'ai juste quelques mots,,"Reymond, François",François Reymond,"Reymond, François",François Reymond,Reconnaissance
