"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"À toi la gloire",104,"Salut, blanche étoile",,"Adeste fideles","Wade, John Francis","John Francis Wade","Monod, Théodore","Théodore Monod","Jésus-Christ : sa naissance"
"À toi la gloire",105,"Jésus est né, venez bergers et mages",,,"Naegeli, Hans Georg","Hans Georg Naegeli","Tournier, Louis","Louis Tournier","Jésus-Christ : sa naissance"
"À toi la gloire",106,"Dans le silence de la nuit",,,"Tournier, G.","G. Tournier","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa naissance"
"À toi la gloire",107,"Chantons d'un cœur joyeux",,"Nun singet und seid froh","Bach, Johann Sebastian","Johann Sebastian Bach","Bochet, H.","H. Bochet","Jésus-Christ : sa naissance"
"À toi la gloire",108,"Les anges dans nos campagnes",,,"Inconnu","Inconnu","Traditionnel","Traditionnel","Jésus-Christ : sa naissance"
"À toi la gloire",109,"Il est né, le divin enfant",,,"Inconnu","Inconnu","Inconnu","Inconnu","Jésus-Christ : sa naissance"
"À toi la gloire",110,"Voici Noël, ô douce nuit",,"Stille Nacht, heilige Nacht","Grüber, Franz Xaver","Franz Xaver Grüber","Mégroz-Cornaz, H.","H. Mégroz-Cornaz","Jésus-Christ : sa naissance"
"À toi la gloire",111,"Écoutez un saint cantique",,"Llanfair","Air gallois","Air gallois","André, Alfred","Alfred André","Jésus-Christ : sa naissance"
"À toi la gloire",112,"Sur la paille fraîche",,"Away in a Manger","Kirkpatrick, William James","William James Kirkpatrick","Wargenau-Saillens, Mme M.","Mme M. Wargenau-Saillens","Jésus-Christ : sa naissance"
"À toi la gloire",113,"Venez, chers enfants",,"Ihr Kinderlein kommet","Schulz, Johann Abraham Peter","Johann Abraham Peter Schulz","Nicole, Jules-Marcel","Jules-Marcel Nicole","Jésus-Christ : sa naissance"
"À toi la gloire",114,"Il est né, le Roi du monde",,"He will hide me","McGranahan, James","James McGranahan","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa naissance"
"À toi la gloire",115,"Jésus est né",,,"Lapuchin","Lapuchin","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa naissance"
"À toi la gloire",116,"Noël, Jésus est né",,,"Air anglais","Air anglais","Decorvet-Blocher, Jeanne","Jeanne Decorvet-Blocher","Jésus-Christ : sa naissance"
"À toi la gloire",117,"Chef couvert de blessures",,"O Haupt voll Blut und Wunden","Hassler, Hans Leo","Hans Leo Hassler","Guers, Emile","Emile Guers","Jésus-Christ : ses souffrances"
"À toi la gloire",118,"Sur la croix où tu meurs pour moi",,"Mein Seel, o Gott, muss loben dich","Recueil Bartholomaeus Gesius, 1605","Recueil Bartholomaeus Gesius, 1605","Budry, Edmond Louis","Edmond Louis Budry","Jésus-Christ : ses souffrances"
"À toi la gloire",119,"Rédempteur adorable",,"Aurelia","Wesley, Samuel Sebastian","Samuel Sebastian Wesley","Humbert, Mlle Amélie","Mlle Amélie Humbert","Jésus-Christ : ses souffrances"
"À toi la gloire",120,"Viens, mon âme, et contemple",,"O Welt, ich muss dich lassen","Isaac, Heinrich","Heinrich Isaac","Gerhardt, Paul","Paul Gerhardt","Jésus-Christ : ses souffrances"
"À toi la gloire",121,"Divin Sauveur",,,"Recueil Consécration et Louange","Recueil Consécration et Louange","Favre, Ernest","Ernest Favre","Jésus-Christ : ses souffrances"
"À toi la gloire",122,"Quelle douleur",,,"Recueil de Mayence","Recueil de Mayence","Bonsen, Léopold-Eberhard","Léopold-Eberhard Bonsen","Jésus-Christ : ses souffrances"
"À toi la gloire",123,"Un regard sur ta croix sanglante",,,"Mason, Dr Lowell","Dr Lowell Mason","Rochedieu, Charles","Charles Rochedieu","Jésus-Christ : ses souffrances"
"À toi la gloire",124,"Quand je contemple cette croix",,"Rockingham","Miller, W.-E.","W.-E. Miller","Saillens, Ruben","Ruben Saillens","Jésus-Christ : ses souffrances"
"À toi la gloire",125,"Le Fils de Dieu vint sur la terre",,,"Ackley, Bentley DeForest","Bentley DeForest Ackley","Tissot-Robert, Mme E.","Mme E. Tissot-Robert","Jésus-Christ : ses souffrances"
"À toi la gloire",126,"Pour quel péché, Jésus",,"Herzliebster Jesu","Crüger, Jean","Jean Crüger","Hoseman, Jean-Jacques","Jean-Jacques Hoseman","Jésus-Christ : ses souffrances"
"À toi la gloire",127,"Dans ton amour, divin Sauveur",,"And can it be","Campbell, Thomas","Thomas Campbell","Arnéra, Hector","Hector Arnéra","Jésus-Christ : ses souffrances"
"À toi la gloire",128,"Lève tes yeux et contemple…",,"Turn your eyes upon Jesus","Lemmel, Helen Howarth","Helen Howarth Lemmel","Arnéra, Hector","Hector Arnéra","Jésus-Christ : ses souffrances"
"À toi la gloire",129,"Viens et vois",,"Were you there when they crucified my Lord ?","Negro-spiritual","Negro-spiritual","Arnéra, Hector","Hector Arnéra","Jésus-Christ : ses souffrances"
"À toi la gloire",130,"Sur le mont du Calvaire",,,"Inconnu","Inconnu","Oemkens, Edouard","Edouard Oemkens","Jésus-Christ : ses souffrances"
"À toi la gloire",131,"Mon Rédempteur est vivant",,"Jesus, meine Zuversicht","Crüger, Jean","Jean Crüger","Bonsen, Léopold-Eberhard","Léopold-Eberhard Bonsen","Jésus-Christ : sa résurrection"
"À toi la gloire",132,"Dans sa divine humanité",,"Victory","Palestrina, Giovanni Pierluigi da","Giovanni Pierluigi da Palestrina","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa résurrection"
"À toi la gloire",133,"Jésus seul est notre vie",,,"Bach, Johann Sebastian","Johann Sebastian Bach","Nicole, Jules-Marcel","Jules-Marcel Nicole","Jésus-Christ : sa résurrection"
"À toi la gloire",134,"Dépouille enfin tes chaînes",,,"Bach, Johann Sebastian","Johann Sebastian Bach","Gerhardt, Paul","Paul Gerhardt","Jésus-Christ : sa résurrection"
"À toi la gloire",135,"Jésus sort de la tombe",,"Du hast, o Herr, dein Leben","Teschner, Melchior","Melchior Teschner","d'Orléans, Théodolph","Théodolph d'Orléans","Jésus-Christ : sa résurrection"
"À toi la gloire",136,"Brisant ses liens funèbres",,"Christ the Lord is risen today","Recueil Lyra Davidica","Recueil Lyra Davidica","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa résurrection"
"À toi la gloire",137,"Christ est ressuscité",,,"Kuen, Alfred","Alfred Kuen","Monod, Edouard","Edouard Monod","Jésus-Christ : sa résurrection"
"À toi la gloire",138,"Le Seigneur est réellement ressuscité",,,"Squire, Cyril","Cyril Squire","Squire, Cyril","Cyril Squire","Jésus-Christ : sa résurrection"
"À toi la gloire",139,"Jésus vit ! Voici ton Roi !",,,"Air anglais","Air anglais","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa résurrection"
"À toi la gloire",140,"O Dieu des grâces éternelles !",,"With all my heart my thangs I bring","Bortniansky, Dimitri","Dimitri Bortniansky","Lutteroth, Henri","Henri Lutteroth","Jésus-Christ : son retour"
"À toi la gloire",141,"Monde angoissé, réjouis-toi !",,"Antioch","Haendel, George Frideric","George Frideric Haendel","Arnéra, Hector","Hector Arnéra","Jésus-Christ : son retour"
"À toi la gloire",142,"Oh ! viens bientôt, Emmanuel",,"Veni, veni Emmanuel","Air grégorien","Air grégorien","Ecuyer, Hermann","Hermann Ecuyer","Jésus-Christ : son retour"
"À toi la gloire",143,"Jésus, ton règne sans pareil",,"Rimington","Hatton, John","John Hatton","Saillens, Ruben","Ruben Saillens","Jésus-Christ : son retour"
"À toi la gloire",144,"Sur les collines éternelles",,,"Malan, César","César Malan","Chatelanat, Charles","Charles Chatelanat","Jésus-Christ : son retour"
"À toi la gloire",145,"Pleins d'espoir levons la tête",,"Angels, from the Realms of Glory","Smart, Henry","Henry Smart","Benoit, Claire-Lise de","Claire-Lise de Benoit","Jésus-Christ : son retour"
"À toi la gloire",146,"De concert avec les anges",,"Battle Hymn of the Republic","Steffe, John William","John William Steffe","Nicole, Jules-Marcel","Jules-Marcel Nicole","Jésus-Christ : son retour"
"À toi la gloire",147,"Levons-nous, frères",,"While sheperds watched their flocks","Haendel, George Frideric","George Frideric Haendel","Hoseman, Jean-Jacques","Jean-Jacques Hoseman","Jésus-Christ : son retour"
"À toi la gloire",148,"Dans sa gloire, notre Maître",,"When He cometh","Root, George Frederick","George Frederick Root","Saillens, Ruben","Ruben Saillens","Jésus-Christ : son retour"
"À toi la gloire",149,"Je sais qu'un jour",,,"Mitchell, Hugh","Hugh Mitchell","Inconnu","Inconnu","Jésus-Christ : son retour"
"À toi la gloire",150,"Quel ami fidèle et tendre",,"What a friend we have in Jesus","Converse, Charles Crozat","Charles Crozat Converse","Bonnard, Emile","Emile Bonnard","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",151,"Comme un phare",,"Let the Lower Lights Be Burning","Bliss, Philip-Paul","Philip-Paul Bliss","Saillens, Ruben","Ruben Saillens","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",152,"Il me conduit",,"He Leadeth Me","Bradbury, Willliam Batchelder","Willliam Batchelder Bradbury","Saillens, Ruben","Ruben Saillens","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",153,"Le Tout-Puissant est mon Berger",,"The King of Love my Shepherd is","Dykes, John Bacchus","John Bacchus Dykes","Saillens, Ruben","Ruben Saillens","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",154,"Dieu nous donne sa grâce",,"Trust and Obey","Towner, Daniel Brink","Daniel Brink Towner","Nicole, Jules-Marcel","Jules-Marcel Nicole","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",155,"Jésus est le chemin",,,"Murray, E. S.","E. S. Murray","Murray, E. S.","E. S. Murray","Jésus-Christ : notre appui et notre guide"
"À toi la gloire",156,"O Jésus, mon doux partage",,,"Bach, Johann Sebastian","Johann Sebastian Bach","Blineau, E.","E. Blineau","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",157,"Jésus est au milieu de nous",,,"Sankey, Ira David","Ira David Sankey","Pélaz, Adèle","Adèle Pélaz","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",158,"Par toi, Jésus, la joie abonde",,"Jesus Shall Reign Where'er the Sun","Hatton, John","John Hatton","Saillens, Ruben","Ruben Saillens","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",159,"Ne crains rien, je t'aime",,,"Air anglais","Air anglais","Schürer, Mlle E.","Mlle E. Schürer","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",160,"Jésus-Christ est ma sagesse",,"Close to Thee","Vail, Silas Jones","Silas Jones Vail","Budry, Edmond Louis","Edmond Louis Budry","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",161,"Il vit !",,"He lives","Ackley, Alfred Henry","Alfred Henry Ackley","Benoit, Claire-Lise de","Claire-Lise de Benoit","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",162,"Brillante étoile du matin",,"Wie schön leuchtet der Morgenstern","Nicolaï, Philippe","Philippe Nicolaï","Roehrich, Louis","Louis Roehrich","Jésus-Christ : sa présence et ses bienfaits"
"À toi la gloire",163,"Le Seigneur m'aime",,,"Air allemand","Air allemand","Guillod, Georges","Georges Guillod","Jésus-Christ : son amour"
"À toi la gloire",164,"Jésus, ô nom qui surpasse",,"Now, o now I needs must part","Dowland, John","John Dowland","Saillens, Ruben","Ruben Saillens","Jésus-Christ : son amour"
"À toi la gloire",165,"Jésus est notre ami suprême",,"Oh, How He Loves !","Beaty, Richard-William","Richard-William Beaty","Charrière, Mlle de","Mlle de Charrière","Jésus-Christ : son amour"
"À toi la gloire",166,"Mon Sauveur m'aime",,,"Air espagnol","Air espagnol","Tissot-Robert, Mme E.","Mme E. Tissot-Robert","Jésus-Christ : son amour"
"À toi la gloire",167,"Tant qu'il vit, tant qu'il règne",,,"Air russe","Air russe","Chatelain, Ph.","Ph. Chatelain","Jésus-Christ : son amour"
"À toi la gloire",168,"Redites-moi l'histoire",,"Tell Me the Old, Old Story","Doane, William Howard","William Howard Doane","Saillens, Ruben","Ruben Saillens","Jésus-Christ : son amour"
"À toi la gloire",169,"Dieu est esprit",,,"Lafitte, Corinne","Corinne Lafitte","Lafitte, Corinne","Corinne Lafitte","Saint-Esprit"
"À toi la gloire",170,"En expirant, le Rédempteur",,,"Dykes, John Bacchus","John Bacchus Dykes","Saillens, Ruben","Ruben Saillens","Saint-Esprit"
"À toi la gloire",171,"O Saint-Esprit, descends",,"When I Survey the Wondrous Cross","Recueil Anglais","Recueil Anglais","Pilet, E.","E. Pilet","Saint-Esprit"
"À toi la gloire",172,"Souffle, Esprit de lumière !",,"Breathe on Me, Breath of God","Jackson, Robert","Robert Jackson","Inconnu","Inconnu","Saint-Esprit"
"À toi la gloire",173,"O Saint-Esprit, Esprit du Seigneur",,"O Jesulein süß","Bach, Johann Sebastian","Johann Sebastian Bach","Ecklin, C.","C. Ecklin","Saint-Esprit"
"À toi la gloire",174,"Esprit de Dieu, crée en nous la foi",,,"Walther, Recueil de Johann","Recueil de Johann Walther","Siordet-Ruckert, J.","J. Siordet-Ruckert","Saint-Esprit"
"À toi la gloire",175,"Esprit de Dieu, tout au fond de mon cœur",,,"Squire, Cyril","Cyril Squire","Benoit, Claire-Lise de","Claire-Lise de Benoit","Saint-Esprit"
"À toi la gloire",176,"Viens, Esprit du Dieu vivant !",,"Spirit of the living God","Iverson, Daniel","Daniel Iverson","Inconnu","Inconnu","Saint-Esprit"
"À toi la gloire",177,"Notre Bible tout entière",,,"Air russe","Air russe","Hoffmann, Ch.","Ch. Hoffmann","Bible"
