"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"Ailes de la Foi",474,"Je suis la Lumière.","Le monde est plein d'ombre","Jesus Bids Us Shine","Excell, Edwin Othello","Edwin Othello Excell","Monod, Théodore","Théodore Monod","Enfants"
"Ailes de la Foi",475,"Tout joyeux, bénissons le Seigneur.",,"The Sweet By and By","Webster, Joseph Philbrick","Joseph Philbrick Webster","Jaulmes, Gédéon","Gédéon Jaulmes","Enfants"
"Ailes de la Foi",476,"Je suis petit, mais…","Ah, que je mette",,"Malan, César","César Malan","Malan, César","César Malan","Enfants"
"Ailes de la Foi",477,"Je sais bien qui nous aima tant.",,,"Recueil des Ecoles","Recueil des Ecoles",,,"Enfants"
"Ailes de la Foi",478,"L'ombre descend de la colline.",,,"Air populaire provençal","Air populaire provençal","Saillens, Ruben","Ruben Saillens","Enfants"
"Ailes de la Foi",479,"Deux mains pour servir.","Seigneur, prends toute ma vie",,"Lemmel, Helen Howarth","Helen Howarth Lemmel","Hunter, James","James Hunter","Enfants"
"Ailes de la Foi",480,"Le Seigneur Jésus.",,,"Air populaire hollandais","Air populaire hollandais","Blocher, Jacques-A.","Jacques-A. Blocher","Enfants"
"Ailes de la Foi",481,"Nul enfant n'est trop petit.",,,"Recueil américain","Recueil américain",,,"Enfants"
"Ailes de la Foi",482,"Oh ! que ta main paternelle.",,,"Air populaire allemand","Air populaire allemand","Glardon, Auguste","Auguste Glardon","Enfants"
"Ailes de la Foi",483,"On raconte qu'aux jours bien éloignés.",,,"Mélodie grecque","Mélodie grecque","Saillens, Ruben","Ruben Saillens","Enfants"
"Ailes de la Foi",484,"Petits enfants, quelqu'un nous aime.",,,"Presbury, O.-F.","O.-F. Presbury","Saillens, Ruben","Ruben Saillens","Enfants"
"Ailes de la Foi",485,"Pour chanter les louanges.",,,"Mozart, Wolfgang Amadeus","Wolfgang Amadeus Mozart","Ecoles du dimanche","Ecoles du dimanche","Enfants"
"Ailes de la Foi",486,"La bande joyeuse.",,,"Ecoles du dimanche","Ecoles du dimanche","Levieux, Blanche","Blanche Levieux","Enfants"
"Ailes de la Foi",487,"Quel bonheur quand faisant trêve.",,,"Martin-Hickel, Mme","Mme Martin-Hickel","Tournier, Louis","Louis Tournier","Enfants"
"Ailes de la Foi",488,"Une belle patrie.",,,"Air télougou","Air télougou","Cantiques des Ecoles du Dimanche","Cantiques des Ecoles du Dimanche","Enfants"
"Ailes de la Foi",489,"Le vieux Noël est revenu.","Voici Noël, le gai Noël",,,,"Saillens, Ruben","Ruben Saillens","Enfants"
"Ailes de la Foi",490,"Quand dans la nuit.","Noël, Noël, chantons Noël",,"Air anglais","Air anglais","Blocher, Jacques-A.","Jacques-A. Blocher","Enfants"
"Ailes de la Foi",491,"Sur la paille fraîche.",,"Away in a Manger","Kirkpatrick, William James","William James Kirkpatrick","d'après Luther, Martin ; par Wargenau-Saillens, Mme M.","d'après Martin Luther ; par Mme M. Wargenau-Saillens","Enfants"
"Ailes de la Foi",492,"Noël, Jésus est né.",,,"Air anglais","Air anglais","Blocher, Jeanne","Jeanne Blocher","Enfants"
"Ailes de la Foi",493,"Au tribunal Jésus se tient.","Que feras-tu de Jésus",,"Stocks, Mary L.","Mary L. Stocks","Blocher, Jacques-A. ; d'après Simpson, P.-B.","Jacques-A. Blocher ; d'après P.-B. Simpson","Chœurs et Soli"
"Ailes de la Foi",494,"Fils de Marie.",,"Ave Maria","Schubert, Franz","Franz Schubert","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",495,"J'ai découvert dans la vallée.","Céleste fleur que Dieu fit naître","O du, mein Trost","Franck, Johann Wolfgang ; harmonisé par Engel, D. H.","Johann Wolfgang Franck ; harmonisé par D. H. Engel","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",496,"Jésus, mon Sauveur, pourquoi.","Oh ! Viens mon Sauveur",,"Bach, Johann Sebastian","Johann Sebastian Bach","Wargenau-Saillens, Mme M.","Mme M. Wargenau-Saillens","Chœurs et Soli"
"Ailes de la Foi",497,"La nuit couvre de ses voiles.","C'est le doux chant de Noël","In the Field with their Flocks Abiding","Farmer, John","John Farmer","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",498,"L'heureux troupeau.",,"The ninety and nine","Sankey, Ira David","Ira David Sankey","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",499,"Quand j'atteindrai le terme.","Là-haut, Il m'attend",,"Ackley, Bentley DeForest ; harmonisé par Roos, S.-P. de","Bentley DeForest Ackley ; harmonisé par S.-P. de Roos","Blocher, Jacques-A.","Jacques-A. Blocher","Chœurs et Soli"
"Ailes de la Foi",500,"Tous unis sous la bannière.","Troupe sainte, suis sans crainte",,"Air provençal (XVIIe s)","Air provençal (XVIIe s)","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",501,"Quand je vois mon Sauveur.",,,"Roos, S.-P. de","S.-P. de Roos","Blocher, Jacques-A.","Jacques-A. Blocher","Chœurs et Soli"
"Ailes de la Foi",502,"Oh ! quel parfait bonheur.",,,"Gabriel, Charles Hutchinson","Charles Hutchinson Gabriel","Blocher, Mme Madeleine","Mme Madeleine Blocher","Chœurs et Soli"
"Ailes de la Foi",503,"Jésus, Jésus, viens à moi.",,,"Bach, Johann Sebastian","Johann Sebastian Bach","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",504,"Le ciel était voilé.",,,"Air américain","Air américain","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",505,"Un jour comme un fil qui se brise.","Alors je verrai face à face",,"Stebbins, George Coles","George Coles Stebbins","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",506,"La mort n'est plus.",,"Die Ehre Gottes aus der Natur","Beethoven, Ludwig van","Ludwig van Beethoven","Aeschimann, Jules","Jules Aeschimann","Chœurs et Soli"
"Ailes de la Foi",507,"Le Fils de Dieu vint sur la terre.",,,"Ackley, Bentley DeForest","Bentley DeForest Ackley","Tissot-Robert, Mme E.","Mme E. Tissot-Robert","Chœurs et Soli"
"Ailes de la Foi",508,"Écoutez la bonne nouvelle.","Amour divin, sublime amour",,"Schubert, Franz","Franz Schubert","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",509,"Est-il bien vrai que tu pardonnes.",,,"Wilson, F.","F. Wilson","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",510,"Des pays de l'aurore.",,,"Schoulepnikow, M. de","M. de Schoulepnikow","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",511,"Gloire au Seigneur.",,,"Courtois, D.","D. Courtois","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",512,"Dieu vit toujours !",,,"Bach, Johann Sebastian","Johann Sebastian Bach","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",513,"Ici-bas ma carrière.",,,"Roucaute, Louis","Louis Roucaute","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",514,"Ils ne sont plus.",,,"Bost, Elisée","Elisée Bost","Monod, Edouard","Edouard Monod","Chœurs et Soli"
"Ailes de la Foi",515,"Proclamez par tout le monde.",,,"Havergal, Frances Ridley","Frances Ridley Havergal","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",516,"Pécheurs, voyez l'Agneau du Père.",,,"Auber, Daniel-François-Esprit","Daniel-François-Esprit Auber","Lelièvre, Jean Wesley","Jean Wesley Lelièvre","Chœurs et Soli"
"Ailes de la Foi",517,"C'est Golgotha, c'est le calvaire.",,,"Zollikofer, Mlle","Mlle Zollikofer","Neff, Félix","Félix Neff","Chœurs et Soli"
"Ailes de la Foi",518,"O Toi qui donnes la vie.",,,"Beer, Jakob Liebmann","Jakob Liebmann Beer","Perenoud, Marcelle","Marcelle Perenoud","Chœurs et Soli"
"Ailes de la Foi",519,"Sois fidèle, tu seras fort.",,,"Winding, August Hendrik","August Hendrik Winding","Saillens, Ruben","Ruben Saillens","Chœurs et Soli"
"Ailes de la Foi",520,"Dieu règne en juste Roi.",,,"Psautier","Psautier","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",521,"Réveille-toi, peuple fidèle.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",522,"Entonnons un nouveau cantique.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",523,"Vous, saints ministres.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",524,"Miséricorde et grâce, ô Dieu.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",525,"Vous qui sur la terre habitez.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",526,"Anges du Très-Haut.",,"O come, let us sing","Croft, Dr. William","Dr. William Croft","Bersier, Eugène","Eugène Bersier","Louange"
"Ailes de la Foi",527,"Trois fois saint Jéhovah !",,,"Kocher, Conrad","Conrad Kocher","Malan, César","César Malan","Louange"
"Ailes de la Foi",528,"Gloire soit au Père, au Fils.",,,"Hollard, Mlle H.","Mlle H. Hollard",,,"Louange"
"Ailes de la Foi",529,"Loué soit Dieu, le Seigneur.",,"Lobe den Herren, den mächtigen König der Ehren","Sohren, Peter","Peter Sohren","Nicole, Jules-Marcel ; d'après Neander, Joachim","Jules-Marcel Nicole ; d'après Joachim Neander","Louange"
"Ailes de la Foi",530,"C'est toi Jésus, pain de vie.",,"Bryn Calfaria","Owen, William","William Owen","Pélaz, Adèle","Adèle Pélaz","Louange"
"Ailes de la Foi",531,"O toi dont les bienfaits.",,"My Country, 'Tis of Thee","Carey, Henry","Henry Carey","Roehrich, Louis ; Recueil de Durand, Louis","Louis Roehrich ; Recueil de Louis Durand","Louange"
"Ailes de la Foi",532,"O Jésus ! soleil de l'âme.",,,"Psalmodie Morave","Psalmodie Morave","Cantique morave","Cantique morave","Jésus-Christ - Sa gloire et son amour"
"Ailes de la Foi",533,"Le nom de Jésus est si doux !","Jésus, béni soit ton nom","The name of Jesus","Lorenz, Edmund Simon","Edmund Simon Lorenz","Contesse-Vernier ; Guillod, J.","Contesse-Vernier ; J. Guillod","Jésus-Christ - Sa gloire et son amour"
"Ailes de la Foi",534,"Oh ! que toute la terre entonne.","A Toi louange, honneur et gloire",,"Air Ecossais","Air Ecossais","Booth-Clibborn, Arthur Sydney","Arthur Sydney Booth-Clibborn","Jésus-Christ - Sa gloire et son amour"
"Ailes de la Foi",535,"Mon Sauveur m'aime.","Jésus, Jésus, qui peut sonder",,"Norton, Nathanael","Nathanael Norton","Tissot-Robert, Mme E.","Mme E. Tissot-Robert","Jésus-Christ - Sa gloire et son amour"
"Ailes de la Foi",536,"Pour toi qu'un tourment oppresse.",,"Art Thou Weary, Art Thou Languid","Baker, Henry-William","Henry-William Baker","Pettavel-Oliff","Pettavel-Oliff","Jésus-Christ - Sa gloire et son amour"
"Ailes de la Foi",537,"Rien n'est comparable.",,,,,"Noëls d'autrefois et Noëls d'aujourd'hui","Noëls d'autrefois et Noëls d'aujourd'hui","Jésus-Christ - Sa gloire et son amour"
