"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"JEM Kids",34,"Disons du bien",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Paroles"
"JEM Kids",35,"Dix lépreux",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Histoires et personnages bibliques"
"JEM Kids",36,"Enfants de la terre",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Prière"
"JEM Kids",37,"Ésaïe 53",,,"Jaccard, Sylvain","Sylvain Jaccard","Jaccard, Sylvain","Sylvain Jaccard","Jésus"
"JEM Kids",38,"Fixant les yeux sur Jésus",,,"Dirlewanger, Marc","Marc Dirlewanger","Dirlewanger, Marc","Marc Dirlewanger","Confiance"
"JEM Kids",39,"Exprès",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Jésus"
"JEM Kids",40,"Frappez et l'on vous ouvrira",,,"Bourbon, Anne-France ; Gustave, Laurence","Anne-France Bourbon & Laurence Gustave","Bourbon, Anne-France ; Gustave, Laurence","Anne-France Bourbon & Laurence Gustave","Prière"
"JEM Kids",41,"Gloire au Seigneur",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Noël"
"JEM Kids",42,"Gros pouces durs",,"Big thumbs","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Identité"
"JEM Kids",43,"Heureux ceux qui savent écouter",,,"Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Parole de Dieu"
"JEM Kids",44,"Hosanna pour le Roi !",,,"Seauve, Nancy","Nancy Seauve","Seauve, Nancy","Nancy Seauve","Louange"
"JEM Kids",45,"Hosanna, gloire au Seigneur",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Histoires et personnages bibliques"
"JEM Kids",46,"Il n'y a vraiment personne comme Jésus",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louange"
"JEM Kids",47,"Ils n'étaient pas trois",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Noël"
"JEM Kids",48,"J'ai donné mon cœur au Seigneur",,,"Roche, Gilles","Gilles Roche","Roche, Gilles","Gilles Roche","Evangélisation"
"JEM Kids",49,"J'ai besoin de toi",,,"Gustave, Laurence ; Dirlewanger, Marc","Laurence Gustave & Marc Dirlewanger","Gustave, Laurence ; Dirlewanger, Marc","Laurence Gustave & Marc Dirlewanger","Soif de Dieu"
"JEM Kids",50,"J'ai confiance en toi",,,"Bourbon, Anne-France ; Gustave, Laurence","Anne-France Bourbon & Laurence Gustave","Bourbon, Anne-France ; Gustave, Laurence","Anne-France Bourbon & Laurence Gustave","Confiance"
"JEM Kids",51,"J'ai un cœur qui bat",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Confession"
"JEM Kids",52,"J'aime le Dieu de la création",,,"de Monvallon, Sophie","Sophie de Monvallon","de Monvallon, Sophie","Sophie de Monvallon","Confession"
"JEM Kids",53,"J'ai un trésor dans mon cœur",,,"Roth, Claudia","Claudia Roth","Roth, Claudia","Claudia Roth","Témoignage"
"JEM Kids",54,"Je lève les mains",,"I reach up high","Bailey, Judy","Judy Bailey","Bailey, Judy","Judy Bailey","Louange"
"JEM Kids",55,"Je me penche",,"I will bend down and touch my kneeds","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Identité"
"JEM Kids",56,"Je mets le casque du salut",,,"Schneider, Rolf","Rolf Schneider","Schneider, Rolf","Rolf Schneider","Armes du chrétien"
"JEM Kids",57,"Besoin de toi",,,"Pruvost, Jessie","Jessie Pruvost","Pruvost, Jessie","Jessie Pruvost","Adoration"
"JEM Kids",58,"Je ne veux pas être un pharisien",,"I don't want to be a Pharisee","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Confession"
"JEM Kids",59,"Je suis…",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Jésus"
"JEM Kids",60,"Je veux marcher",,,"Freymond, Sylvain","Sylvain Freymond","Freymond, Sylvain","Sylvain Freymond","Armes du chrétien"
"JEM Kids",61,"Jésus aime les petits enfants comme moi",,,"van Woerden, Pierre","Pierre van Woerden","van Woerden, Pierre","Pierre van Woerden","Enfants"
"JEM Kids",62,"Jésus est le grand vainqueur",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louange"
"JEM Kids",63,"Jésus est le rocher de ma vie",,,"Inconnu","Inconnu","Inconnu","Inconnu","Confiance"
"JEM Kids",64,"Jésus me réveille",,"The Lord wakes me every morning","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Ecoute"
"JEM Kids",65,"Jésus nous t'aimons",,"Langsam gehen wir","Faist, Joseph","Joseph Faist","Faist, Joseph","Joseph Faist","Adoration"
